node_1,node_2,edge
NACA 23012 airfoil,External-airfoil flap,NACA 23012 airfoil has an external-airfoil flap
two-level approach,system design (first level),The two-level approach begins with system design at the first level
two-level approach,detailed component design (second level),The second step of the two-level approach is detailed component design
Shock strength,Airfoil performance,A weak shock strength contributes to better airfoil performance
N.A.C.A. 0009 airfoil,Normal-force coefficient (C_N),From the data obtained	 normal-force coefficients were calculated for the airfoil section complete with the flap and the various tabs.
Parameterization,Airfoil,The airfoil is parameterized by the equation S(x) =xn1 (1 âx)n2Nâi=0Ai!(N âi)!xi(1 âx)Nâ1 + hx
Lift coefficient,NACA 5-digit series airfoils,The first integer in the numbering system indicates the amount of camber in terms of the relative magnitude of the design lift coefficient	 which is three-halves of the first integer
Lift coefficient,Pressure distribution,The term 'pressure distribution' is used to signify the distribution of static pressures on the upper and lower surfaces of the airfoil along the chord	 which varies with lift coefficient.
Lift coefficient,Design lift coefficient,The design lift coefficient is used to calculate the desired value of 6v/V
Lift coefficient,Thickness form,The value of the lift coefficient affects the thickness form
Lift coefficient,Airfoil camber,The amount of camber largely determines the values of lift coefficient for which low drag is obtained.
Lift coefficient,Drag,Relationship shown in Figure 15 for different airfoils at various Reynolds numbers
Lift coefficient,Airfoil,An airfoil generates lift	 measured by its lift coefficient.
Lift coefficient,Airfoil performance,The lift coefficient is a key parameter in airfoil performance
Lift coefficient,Airfoil section,The lift coefficient is an important aerodynamic characteristic of an airfoil section
Lift coefficient,Neural network,The neural network predicts the lift coefficient	 aiming to improve accuracy by adding INS2D data from optimal cases and retraining
Lift coefficient,Angle of attack,The angle of attack affects the lift characteristics of an airplane.
Lift coefficient,Reynolds number,The Reynolds number affects the lift coefficient at a given angle of attack on an airfoil.
Lift coefficient,Profile drag coefficient,In regards to profile drag coefficients at lift coefficients other than the optimum	 figure 41(a) shows the scale effects...
Lift coefficient,Airfoil optimization problem,Problem specifies lift coefficient at 0.92
Lift coefficient,Thickness ratio,The maximum section lift coefficients (C_L = 0.6) for the modified NACA four-digit-series airfoils vary with thickness ratio	 as shown in Figure 20.
Lift coefficient,Velocity-increment ratios,For positive additional lift coefficients	 velocity-increment ratios are positive on the upper surfaces and negative on the lower surfaces.
Lift coefficient,NACA 653-418 airfoil,The pressure coefficient C_p at a specific station (x=0.50) on the upper and lower surfaces of this airfoil can be calculated using its lift coefficient.
Lift coefficient,Critical Mach number,The variation of critical Mach number is dependent on the low-speed section lift coefficient
Lift coefficient,Aerodynamic characteristics,The lift coefficient is a key aerodynamic characteristic of an airfoil.
Lift coefficient,Section lift coefficient,The section lift coefficient (cl) is a key parameter in determining the lift coefficient (C_L).
Airfoil Thickness (T),Maximum thickness location,The dividing line between negative pockets on the forward section and positive pockets on the rear section is located near the maximum thickness location.
yawing moment,rolling,The yawing moment due to rolling has some effect on lateral stability but its most important effect is usually on lateral maneuverability.
Thickness ratio,Drag coefficient,As thickness ratio increases	 drag coefficients increase at moderate and high lift coefficients for airplanes with rough surfaces.
Thickness ratio,Maximum lift coefficient,NACA 230-series airfoils have higher maximum lift coefficients for thickness ratios less than 0.20
Thickness ratio,Manufacturability,Higher thickness ratios make an airfoil easier to manufacture due to simpler curvature and reduced risk of buckling during construction.
Thickness ratio,Airfoil section,An airfoil section has a thickness ratio	 denoted by t in NACA four-digit series.
Thickness ratio,Airfoil,An airfoil has a thickness ratio	 which is the maximum thickness divided by the chord length. Thicker airfoils are easier to manufacture but have higher drag.
Thickness ratio,Aerodynamic characteristics,Variations of thickness ratio also resulted in changes in aerodynamic characteristics.
Thickness ratio,Airfoil thickness distribution,The thickness distribution of an airfoil determines its thickness ratio.
Thickness ratio,Low-drag range,Decreasing thickness ratio causes large decrease in low-drag range.
Thickness ratio,NAOA 56-series sections,The optimum thickness ratio for the NAOA 56-series sections appears to be 15 percent or greater
Thickness ratio,Airfoil performance,The thickness ratio affects the airfoil's performance
Thickness ratio,Critical Mach number,The critical Mach number is a limitation on thickness ratio for high-speed airfoils due to compressibility effects.
Thickness ratio,Tip section,The thickness ratio of the tip section should be reduced for a margin in critical speed and to avoid loss in maximum lift coefficient.
laminar boundary layers,Reynolds numbers,Extensive laminar boundary layers were previously difficult to achieve at large Reynolds numbers.
Lift curve slope,Angle of attack,A lift curve slope is calculated for each domain height h for a set of angles of attack from 0 to 10 degrees
Lift coefficient (C_L),Angle of attack (Î±),The lift coefficient varies with the angle of attack; increasing Î± generally increases C_L up to a stall point.
Lift coefficient (C_L),Airfoil,An airfoil generates lift	 with lift coefficient (C_L) being directly proportional to angle of attack up to a certain point.
Lift coefficient (C_L),NACA RM No. L7I22,The NACA RM No. L7I22 has a lift coefficient that varies with angle of attack	 as shown in the provided data.
Basic thickness form,Drag coefficient (C_d),The basic thickness form influences the drag coefficient	 with thicker forms resulting in higher C_d
protuberance,drag,The turbulence produced by a protuberance can delay the separation of flow and reduce drag.
protuberance,Airfoil,The presence of a protuberance on an airfoil can affect its maximum lift coefficient
protuberance,section characteristics,differences between section characteristics may be neglected if all sections operate within certain angle of attack range due to protuberance
protuberance,drag coefficient,The drag coefficient is used to calculate the drag due to a protuberance	 based on its frontal area and the freestream dynamic pressure.
protuberance,maximum lift,The effect of a protuberance on the maximum lift is unimportant when it's located on the lower surface
leading-edge region,shed vortex,contributes lift which is transferred to the shed vortex when flow breaks down
High Subsonic Design,Airfoil Geometry,The High Subsonic Design is a specific instance of Airfoil Geometry.
High Subsonic Design,Iterations,The High Subsonic Design process involves multiple Iterations.
CST Method,Airfoil Optimization,Improved by redistributing control points without changing the number of variable parameters
CST Method,Airfoil,The CST method is a good choice for parameterization and optimization of airfoils.
CST Method,Design Variables,When the number of design variables grows	 computing cost will increase dramatically in the CST method.
average values,lift,An increase in reduced frequency generally causes an increase in the average values of lift.
average values,drag,An increase in reduced frequency generally causes an increase in the average values of drag.
Navier-Stokes,DSMC,The DSMC and Navier-Stokes gapsizes are close
Navier-Stokes,Airfoil,Navier-Stokes equations are solved with a slip boundary condition on the airfoil surface
maximum lift,angle of attack,With leading-edge flap undeflected	 small discontinuities occur in the lift curves at an angle of attack below that for maximum lift.
maximum lift,flow separation,Flow separation from the leading edge eliminates maximum lift when leading-edge flap deflection is greater than 20Â°. At deflections beyond this	 flow separation farther aft limits maximum lift.
maximum lift,upper surface,Positioning a protuberance on the upper surface significantly affects its impact on maximum lift
maximum lift,end plates,end plates reduce maximum lift
maximum lift,drag,Changes that produce higher values of maximum lift usually incur higher penalties in terms of drag.
maximum lift,split flap,The split flap increases the maximum lift of an airfoil.
maximum lift,leading-edge radius,The maximum lift of the airfoils with one-quarter normal-size leading-edge radii more closely approached that of NACA 64-series airfoils than those with roughness had no appreciable effect upon the maximum lift of those airfoils.
maximum lift,lift coefficient,Increment of maximum lift caused by flap deflection is represented by this relationship
Aspect ratio,Lift-curve slope,The lift-curve slope varies with the hydrofoil's aspect ratio.
Aspect ratio,Airfoil,The airfoil has an aspect ratio that can be corrected to infinite.
Aspect ratio,Angle of attack,The effect of angle of attack on flow changes varies with aspect ratio.
Aspect ratio,Wing,High wing loadings and low span loadings tend to result in wings of high aspect ratio	 which require large spar depths.
angle of zero lift,camber,Airfoil parameter that largely determines its angle of zero lift
pressure fluctuations,incidence angle,Pressure traces at higher incidence angles have more high-frequency content than those at smaller angles.
pressure fluctuations,Mach number,Absolute levels of pressure fluctuation over the upper forward 27 percent chord were 3 to 4 times those measured at a lower Mach number of 0.30
Surface waviness,Section,A section has surface waviness	 which affects its laminar flow and drag coefficient
ordinate,station,Each station on an airfoil has a corresponding ordinate value	 which describes its vertical position relative to the chord line
ordinate,Station,Stations and ordinates are given for each airfoil section	 representing specific points on the upper and lower surfaces of the airfoil.
ordinate,upper surface,The upper surface of an airfoil has ordinates at different stations
ordinate,lower surface,The lower surface of an airfoil has ordinates at different stations
lift coefficient (C_L),NACA 653-118 airfoil,The NACA 653-118 airfoil has a maximum lift coefficient of around 1.0 when the flap is deflected at certain angles.
lift coefficient (C_L),Airfoil,Airfoils generate lift	 with the lift coefficient being an important parameter in airfoil design and analysis.
boundary layer,flow,The boundary layer affects the flow over an airfoil.
boundary layer,Airfoil,Changes in flow pattern begin in the boundary layer on the upper surface of an airfoil.
boundary layer,trailing edge,The boundary layer extends from the leading edge to the trailing edge.
Trailing-edge angle,Flow separation,A large trailing-edge angle causes flow separation at transonic speeds.
Trailing-edge angle,Drag coefficient,High drag results from flow separation due to a large trailing-edge angle.
Trailing-edge angle,Aerodynamic center,Increasing trailing-edge angle causes forward movement of the aerodynamic center for NACA 24-	 44-	 and 230-series airfoils
Trailing-edge angle,Airfoil thickness,For NACA 6-series airfoils	 the effect of increasing trailing-edge angle is apparently less than the effect of increasing thickness
airplane component,wing,A wing is an example of an airplane component
Grid,Airfoil,An airfoil is associated with its generated grid.
Grid,Camber line,An example grid is shown using NURBS representation of camber line
Design lift coefficient,NACA 653-412,The NACA 653-412 airfoil has a design lift coefficient of 0.4
Design lift coefficient,Mean line,The lift coefficient at the center of the low-drag range corresponds approximately to the design lift coefficient of the mean line
Design lift coefficient,Camber addition,The camber addition is proportional to the design lift coefficients
Design lift coefficient,Maximum lift coefficient,Airfoils having design lift coefficients of 0.2 or less tend to have higher maximum lift coefficients when thickness ratios are increased.
Design lift coefficient,Critical Mach number,For different thicknesses in the NACA 63-series	 critical Mach number varies with the design lift coefficient (0.2	0.4	 and 0.6).
Design lift coefficient,Airfoil performance,The design lift coefficient is an important parameter that affects the airfoil's performance.
Design lift coefficient,Airfoil,Airfoil can be designed for a specific lift coefficient (e.g.	 0.6)
Pressure coefficient (Cp),Airfoil,The pressure distribution on the airfoil is represented by the pressure coefficient Cp.
Pressure coefficient (Cp),Airfoil contour,The pressure coefficient distribution is targeted along the airfoil contour in the redesign of NACA 0012 profile
leading edge,transition,Transition occurs at varying distances from the leading edge	 with some data showing transition as far back as 20 percent of the chord in the slipstream for NACA airfoils.
leading edge,Airfoil,The leading edge is a boundary of the airfoil
leading edge,pressure response,A symptomatic pattern was detected in the pressure response near the leading edge.
leading edge,swept wing,The swept wing's leading edge is parallel to the flow lines.
leading edge,transition location,Azimuthal locations of transition over the surface near the leading edge are shown in figure 13.
leading edge,flow separation,The point of flow separation accelerates as it progresses towards the leading edge
leading edge,pressure,The highest error in pressure is still at the leading edge
leading edge,leading-edge radius,The center for the leading-edge radius is found by drawing a line through the end of the chord at the leading edge
pressure,data,Unsteady pressure data was acquired.
NAC A 65	3-218,pressure distribution,'3-218' indicates that the airfoil has minimum pressure at 0.3 times the chord length behind the leading edge.
leading-edge radius,Airfoil,Airfoils can have different leading-edge radii
leading-edge radius,airfoil section,Leading-edge radius is a parameter used in defining an airfoil section
leading-edge radius,pressure distribution,The size of the leading-edge radius influences the pressure distribution over the forward part of the airfoil
NACA 0010-34,Airfoil section,NACA 0010-34 is an airfoil section with a modified thickness ratio of 0.8 and camber line location of -0.2.
Drag coefficient (C_D),Angle of attack (Î±),Increasing angle of attack initially decreases drag coefficient but increases it beyond stall
Drag coefficient (C_D),Airfoil,An airfoil's drag	 or resistance to motion	 is represented by its drag coefficient	 C_D.
Transducer,Airfoil,The airfoil has transducers mounted on it for measurement purposes.
Airfoil Geometry Residuals,Airfoil Geometry,Changes in Airfoil Geometry result in residuals that need to be minimized during design iterations
Navier-Stokes Equations,NACA 0012 Airfoil,The continuum approach solves the Navier-Stokes equations for the NACA 0012 airfoil.
Navier-Stokes Equations,Turbulence,When the flow is turbulent	 additional models like Spalart-Allmaras are used to solve these equations.
Navier-Stokes Equations,Airfoil,Airfoil design and analysis also involves the Navier-Stokes equations	 especially for compressible turbulent flow
pressure distribution,Airfoil,The pressure distribution over an airfoil affects its performance
pressure distribution,camber,Camber influences the pressure distribution over upper and lower surfaces of an airfoil
pressure distribution,angle of attack,A change in the angle of attack affects the pressure distribution around the airfoil
pressure distribution,Mach number,Changes in Mach number cause changes in the pressure distribution on the airfoil surface.
pressure distribution,wind tunnel,The wind tunnel was used to measure the pressure distribution on the airfoil
pressure distribution,airfoil section,The method used calculates the pressure distribution around an airfoil section without any restricting assumptions
pressure distribution,lift coefficient,When operating at an appreciable lift coefficient	 the thin symmetrical section has a high suction peak near the leading edge	 while the cambered section chosen for comparison has a flat pressure-distribution diagram.
pressure distribution,crossflow instability,Pressure distribution is one of the main parameters that influence crossflow instability.
pressure distribution,swept wing,Pressure distributions on swept wings can be used to analyze boundary layer instabilities like Tollmien-Schlichting and crossflow instabilities
pressure distribution,airfoil geometry,The airfoil geometry is associated with its corresponding pressure distribution.
pressure distribution,airfoil characteristics,The pressure distribution exerts a strong or predominant influence on the boundary-layer flow and	 hence	 on the airfoil characteristics.
pressure distribution,critical Mach number,The pressure distribution also exerts a strong influence on the estimation of the critical Mach number if tests are not available.
pressure distribution,NACA 6-series airfoils,The corresponding pressure distributions for NACA 6-series airfoils are derived using these transformations.
P/PTM,AIRFOILUPPERSURFPR5,The Pressure Distribution along the Airfoil Upper Surface is given as P/PTM
P/PTM,x/c,The Pressure Distribution along the Airfoil Upper Surface is given as P/PTM at different x/c values
P/PTM,Cp,The Pressure Coefficient (Cp) and Pressure Distribution (P/PTM) are related along the Airfoil Upper Surface
AIRFOILUPPERSURFPR5,x/c,The Airfoil Upper Surface Pressure Coefficient (Cp) is given at different x/c values
AIRFOILUPPERSURFPR5,Cp,The Airfoil Upper Surface Pressure Coefficient (Cp) varies at different x/c values
Airfoil Geometry,Grid Sensitivity,Sharp points in the airfoil geometry	 like those at the trailing edge of a flap	 can cause grid sensitivity issues due to flow acceleration and pressure drops.
Airfoil Geometry,Iterations,Airfoil Geometry is improved through iterative design processes
Airfoil Geometry,Neural Network,The neural network is used to estimate the airfoil geometry.
V,free-stream velocity,Represents the velocity of the flow away from the airfoil
angle of attack,Airfoil,The lift coefficient (Acmcj~) varies linearly with the angle of attack
angle of attack,lift coefficient,The lift coefficient varies with the angle of attack.
angle of attack,drag coefficient,The drag coefficient is lower at higher Reynolds numbers for a range of angles of attack.
angle of attack,lift curve discontinuities,Lower angle of attack corresponds to lift curve discontinuities with deflected plain trailing-edge flap.
angle of attack,performance,Angle of attack significantly affects the performance of the hydrofoil	 including induced vertical velocity.
angle of attack,Mach number,The effects of being off-design in the angle of attack or in the Mach number are shown in figures 19(a) and (b)	 respectively.
angle of attack,data,Data is presented for different angles of attack
angle of attack,CL,Angle of attack 'a' affects CL through the equation CL = OL cos a + CN sin a
angle of attack,lift coefficient (C_l),increases with increasing angle of attack up to a certain point
angle of attack,shock wave,The presence and characteristics of the shock wave also depend on angle of attack
angle of attack,flow separation,little flow separation occurs at low angles of attack
angle of attack,lift,The angle of attack influences the lift generated by an airfoil.
sweep,wing,The data of figure ll show that changing from an unswept to a swept wing causes...
wind-tunnel investigation,NACA 0006 airfoil,The NACA 0006 airfoil was subjected to a wind-tunnel investigation.
Three-element airfoil,Slat,A three-element airfoil consists of a slat among other elements.
Three-element airfoil,Flap,A three-element airfoil consists of a flap among other elements.
reduced frequency,lift coefficient (CL),Loss of lift occurs progressively later in the cycle as reduced frequency increases
maximum lift coefficients,symmetrical airfoil,The maximum lift coefficients of the symmetrical airfoil are not directly comparable to those of the cambered airfoils due to erosion from impingement.
maximum lift coefficients,thickness,Increasing thickness decreases the maximum lift coefficients of an airfoil.
Leading edge radius,NACA 23021,The leading edge radius is 0.158
Leading edge radius,Manufacturability,A larger leading edge radius improves manufacturability but may increase weight and complexity
Speed,Drag,Drag increases gradually as the critical speed is approached from the supercritical range	 contrary to the abrupt increase predicted by theory.
Speed,Airfoil,Airfoil performance varies with speed	 as shown in the variation of lift coefficient with speed for different water depths and hydrodynamic conditions.
Speed,Maximum lift coefficient,The average observed maximum value for all speeds greater than 0.5 is approximately 32 cm of head.
Moment,Normal Force,Both quantities are integrated with the assumption of two-dimensional flow near the midspan region.
Moment,Airfoil,Airfoils create moments around their chord line.
aircraft,optimizer,The optimizer allows for efficient searching of the design space to find extrema for aircraft.
Airfoil thickness,Manufacturability,Thicker airfoils are generally easier to manufacture but may have higher drag.
Airfoil thickness,% of the chord,The last two integers in NACA's numbering system indicate the airfoil thickness	 expressed as a percentage of the chord.
Airfoil thickness,Position of minimum pressure,Airfoil thickness affects the position of minimum pressure along the chord.
Airfoil thickness,Lift-curve slope,The values of lift-curve slope for airfoils with thicknesses in the range from 6 to 10 percent are very close to the value for thin airfoils.
Airfoil thickness,NACA 6-series airfoils,The chordwise position of the aerodynamic center moves rearward with increase in airfoil thickness for NACA 6-series airfoils.
Airfoil thickness,Maximum lift coefficient,Increasing airfoil thickness increases the maximum lift coefficient	 but this effect is less pronounced for highly cambered sections.
Airfoil thickness,NACA 4-digit designation,The last two digits of the NACA 4-digit designation indicate the thickness of the section in percent chord.
Airfoil thickness,Airfoil performance,Thickness is a variable related to the shape of the airfoil that affects its performance
Airfoil thickness,NACA 4409,NACA 4409 has an airfoil thickness that changes along its chord length.
Airfoil thickness,Reynolds Number,The most efficient airfoil thickness varies with the Reynolds Number
Airfoil thickness,Drag coefficient,Optimized for minimum drag at a specific lift coefficient (0.92) and Reynolds number (300	000)
Airfoil thickness,Airfoil optimization problem,Problem specifies airfoil thickness at 10%
Airfoil thickness,Low-drag range,Increasing airfoil thickness reduces the theoretical value of the low-drag range
Airfoil thickness,Quarter-chord pitching-moment coefficient,Thickness increases the magnitude of quarter-chord pitching-moment coefficient with increasing deflection of split flaps
Airfoil thickness,Lift-to-drag ratio,The thickness of the airfoil impacts its lift-to-drag ratio	 with thinner profiles generally having better performance.
Slat,Airfoil,An airfoil consists of a slat	 main element	 and flap.
Drag,Lift,Lift and drag are both important forces acting on an airfoil	 with lift being vertical and drag horizontal.
Drag,Airfoil,An airfoil's drag coefficient is influenced by its thickness and surface roughness.
Drag,Angle of attack (a),As the angle of attack increases beyond the stalling angle	 the drag coefficient also increases significantly.
Drag,lb,Drag force is measured in pounds-force (lb)
Drag,Reynolds Number (Re),The drag coefficient of an airfoil varies with the Reynolds number (Re).
Drag,Manufacturability,Lower drag leads to better fuel efficiency	 but must consider manufacturability constraints
Drag,Laminar boundary layer,Unusually low drags are associated with the presence of an abnormally extensive laminar boundary layer.
Drag,Airfoil optimization problem,Problem aims to minimize drag
Drag,NACA 0010-35,The NACA 0010-35 has specific aerodynamic characteristics	 including drag
Drag,Thickness Ratio,The drag rises steeply with increasing thickness ratio
Drag,NACA 6-series,Sections designed for these series aimed to have desirable drag coefficients.
Drag,NACA 6-series airfoils,NACA 6-series airfoils exhibit high drag at high lift coefficients and low drag at moderate lift coefficients.
Drag,Airfoil sections,The performance of airfoil sections is also characterized by drag
Drag,Wing,Irregularities on the wing contribute to its total drag.
Drag,Reynolds number,Increase in Reynolds number decreases drag coefficient due to transition from laminar to turbulent flow
Drag,Reynolds Number,The drag experienced by an airfoil can be influenced by the Reynolds number	 which depends on factors like airspeed and size of the airfoil.
Drag,Airfoil Shape,The shape of an airfoil	 including its thickness distribution	 significantly impacts its drag characteristics.
Drag,Airfoil performance,The performance of an airfoil also includes its drag coefficient
angles of attack,flight conditions,The curves were obtained from the test results by selecting	 at each angle of attack	 test results to correspond as well as possible with flight conditions
angles of attack,lift coefficient,Results at a given Reynolds number revealed a steady variation between lift coefficient and angle of attack within the pre-stall region
angles of attack,drag coefficients,A gradually increasing curve for the drag coefficients was recorded
angles of attack,Reynolds number (Re),The Reynolds number is used at different angles of attack.
(t/C)max,lift-curve slope,The lift-curve slope is computed by a series of IF statements for various (t/C)max values.
(t/C)max,camber,The camber is governed by limits of Cld and (t/C)max as given in subroutine CLDVSZo
Mach numbers,maximum lift coefficient,The maximum lift coefficient is anticipated to increase at all Mach numbers.
Mach numbers,airfoil sections,operate at Mach numbers above drag divergence
Mach numbers,NACA 6-series airfoils,The NACA 6-series sections retain satisfactory lift characteristics up to higher Mach numbers than the earlier sections.
Laminar boundary layer,Airfoil,Increasing the relative extent of laminar boundary layer reduces skin friction and profile drag.
Laminar boundary layer,Turbulent boundary layer,When laminar separation occurs	 the flow returns to the surface as a turbulent boundary layer.
Leading-edge radius,Pressure distribution,If too small	 a premature peak occurs near leading edge; if too large	 it occurs further downstream. With correct radius	 pressure is nearly flat initially.
Leading-edge radius,Position of maximum thickness,A change in leading-edge radius affects the position of maximum thickness
Wind tunnel testing,High-lift design,Traditionally	 high-lift designs have been accomplished by extensive wind tunnel testing.
Wind tunnel testing,High-lift analysis tools,To be effective	 these tools need to be functional in all areas of design including wind tunnel.
moment coefficient,Airfoil,Moment coefficient is a property of airfoils	 calculated around specific points like quarter-chord point
lift coefficient (C_l),Airfoil,The lift coefficient C_l is a measure of the lift generated by an airfoil.
lift coefficient (C_l),airfoil section,The low-speed section lift coefficient varies with airfoil section thickness and camber.
lift coefficient (C_l),critical Mach number,Variation of critical Mach number is dependent on the low-speed section lift coefficient.
Shock,Airfoil performance,The presence of shock does not have any seriously adverse effects on airfoil performance unless it precipitates boundary-layer separation.
Shock,Symmetrical airfoil section,Shock develops at a lower free-stream speed on the symmetrical section.
airfoil design,airfoil analysis,Airfoil design involves analyzing airfoil parameters to optimize performance
airfoil design,inputs,Inputs are required to initiate the airfoil design process.
airfoil design,lift coefficient,Lift coefficient is a measure of the aerodynamic performance of an airfoil design
airfoil design,crossflow instability,Crossflow instability is an important phenomenon to consider when designing laminar airfoils for swept wings.
airfoil design,maximum ordinate of mean line (M),The maximum ordinate of the mean line is another crucial design parameter for airfoils
airfoil design,chordwise position of maximum ordinate (C%),The chordwise position of maximum ordinate is also an important design parameter in airfoil creation
free-stream velocity,Reynolds number,Reynolds number is a function of free-stream velocity in airfoil analysis.
free-stream velocity,Mach number,Mach number relates to free-stream velocity in airfoil design.
free-stream velocity,pressure coefficient,The pressure coefficient is defined in relation to the free-stream velocity.
support interference,accuracy,There is no support interference within the accuracy of the results at high values of the Reynolds Number.
CL,Lift,CL represents the lift coefficient	 which is used to calculate lift
CL,Angle of attack,The CL varies with angle of attack	 from -1.2 to 2.6
Aspect Ratio,Lift,A higher aspect ratio in a hydrofoil can increase lift generation.
Aspect Ratio,Airfoil,An airfoil has an aspect ratio	 which is the ratio of its span to its mean chord length. This affects its lift and induced drag coefficients.
Aspect Ratio,Airplane,An airplane's effective aspect ratio is not a satisfactory criterion for use in airfoil selection.
Slotted flaps,NACA 6-series airfoils,Tests indicate that the design parameters necessary to obtain high maximum lifts are similar for NACA 6-series airfoils with slotted flaps.
Maximum camber location,NACA 4-digit designation,The second number in the NACA 4-digit designation indicates the distance from the leading edge to the location of the maximum camber.
Maximum camber location,Airfoil performance,A more aft maximum camber location improves airfoil performance
NACA-0012,symmetrical airfoil,NACA-0012 is a symmetrical airfoil.
NACA-0012,airfoil geometry,The NACA-0012 is an example of airfoil geometry
aerodynamic center,Airfoil,The aerodynamic center is a point on an airfoil about which the pitching moment coefficient remains constant with changes in angle of attack.
aerodynamic center,airfoil sections,The position of the aerodynamic center is determined from the experimental results for each airfoil section
aerodynamic center,airfoil thickness ratio,The aerodynamic center varies chordwise with changes in airfoil thickness ratio.
c,camber,The term 'c' is used interchangeably with 'camber'	 referring to the maximum camber of the airfoil.
Ordinates,Airfoil Chord,Ordinates are measured as a percentage of the airfoil's chord length.
maximum lift coefficient,thickness ratio,For thickness ratios greater than 15 percent	 the maximum lift coefficients of airfoils cambered for a design lift coefficient of 0.4 equipped with split flaps are greater than those of NACA 44-series airfoils.
maximum lift coefficient,airfoil section,The maximum lift coefficient is a measure of the highest lift that can be generated by an airfoil section without stalling.
maximum lift coefficient,camber,For wings with small camber	 the most effective way of increasing the section maximum lift coefficient is to increase the camber.
maximum lift coefficient,airfoil thickness ratio,increases slightly for airfoils having thickness ratios greater than 18 percent
maximum lift coefficient,Reynolds Number,The maximum lift coefficient increases with increasing Reynolds Number
maximum lift coefficient,Reynolds number,The attainment of a high maximum lift coefficient is often more difficult at the tip section than at the root section because of the lower Reynolds number of the tip section.
maximum lift coefficient,NACA series,consistently higher for NACA 64-series compared to NACA 24-	 44-	 and 230-series of comparable thickness
maximum lift coefficient,thickness,Maximum lift coefficient decreases with increasing thickness
dynamic stall,NACA 0012 airfoil,The NACA 0012 airfoil exhibits dynamic stall	 characterized by high forces and vortex shedding.
critical Mach number,Airfoil,The performance of an airfoil includes its critical Mach number.
critical Mach number,camber,Higher values of camber reduce the critical Mach number
critical Mach number,NACA 6-series,NACA 6-series sections provide higher critical Mach numbers at moderately high lift coefficients than earlier types of sections.
CPU time,DSMC,DSMC requires a much larger amount of CPU time compared to the IP method
Stall,Airfoil,The Airfoil has Stalling Characteristics	 where the stall progresses from root towards tip for flaps neutral and partial-span flaps deflected.
Stall,Lift,Stall reduces lift on an airfoil
Stall,Flap,The stall of the flap generally occurred at a deflection of about 20Â° for low angles of attack and about 50Â° for high angles of attack.
Stall,Angle of attack,The stall of the flap occurred at different deflections depending on the angle of attack.
target geometry,inverse design,Inverse design generates the target geometry.
grid sensitivity,NURBS,The geometric representation of wing-sections using NURBS can be used for grid sensitivity analysis.
amplification ratio,Reynolds number,With increasing Reynolds number	 the amplification ratio grows until a certain limiting N factor is reached.
amplification ratio,sweep angle,Increasing sweep angle increases the amplification ratio due to increasing crossflow component.
Section Lift Coefficient,Maximum Thickness Location,Moving the maximum thickness location closer to the leading edge increases the section lift coefficient.
Inboard sections,NACA ACR No. L5C05,The NACA ACR No. L5C05 is used for inboard sections of conventional airplanes.
thickness ratio,Airfoil,The thickness ratio is a parameter that describes the airfoil's thickness
thickness ratio,Reynolds number (Re),The thickness ratio varies with the Reynolds number.
thickness ratio,NACA 6-series,For NACA 6-series airfoils	 thickness ratio should be less than 0.12 of the chord.
chord force,lift,The computation of chord force hysteresis response contributes to lift hysteresis loop.
Pitching Moment,Pitch Damping,The Pitch Damping term	 which is more frequently reported	 has a different interpretation. It represents the net accumulation of energy from the flow based on the closed-line integral of the pitching moment with respect to alpha.
Pitching Moment,Airfoil,Airfoils have a pitching moment around their aerodynamic center
section characteristics,variable-density wind tunnel,More reliable section data is obtained from a variable-density wind tunnel	 with additional corrections applied.
section characteristics,Airfoil,The section characteristics of the airfoil	 flap	 and tab as functions of flap and tab deflection are plotted as increments.
High-lift devices,Airfoil performance,High-lift devices can improve the performance of airfoils
High-lift devices,Airfoil section characteristics,High-lift devices affect airfoil section characteristics.
High-lift devices,Airfoil,Available data on high-lift devices are presented in the report along with the aerodynamic characteristics of the airfoils.
FX63-137,Airfoil,The FX63-137 is an example of an airfoil
computational cost,inverse design,Inverse design algorithms can have high computational costs	 which can be reduced using machine learning techniques as shown in this study.
drag,Airfoil,Airfoil experiences drag during flight	 negatively affecting performance
drag,lift,Lift and drag are interrelated airfoil parameters affecting performance
drag,lift coefficient,Increase in drag causes an increase in lift coefficient.
drag,airfoil section,The quality of the airfoil section has more effect on drag than the type of section.
drag,Reynolds numbers,As Reynolds numbers increase	 savings in drag can be obtained with proper construction practices.
drag,thickness,Increasing the thickness of an airfoil can increase drag due to skin friction and form drag.
drag,Reynolds number,The Reynolds number affects the drag coefficient of an airfoil.
drag,camber,Increasing camber increases drag
drag,leading edge radius,Increasing leading edge radius reduces drag
ailerons,NACA 6-series airfoils,The NACA 6-series airfoils do not appear to present unusual problems with regard to the application of ailerons.
Altitude,Temperature,The temperature changes with altitude.
Altitude,Pressure,The pressure varies based on the altitude.
GA,Iterations,GAs may require many more iterations than traditional optimization techniques
Design,Airfoil,Airfoils are designed using various methods.
Design,Manufacturability,The manufacturability of an airfoil design is an important consideration in the development process
NACA 654-221,Manufacturability,The design and thickness distribution of NACA 654-221 make it suitable for manufacturing as a wing or control surface
Low Reynolds number flow,Airfoil,Low Reynolds number flow is relevant in the context of airfoil applications.
Root section,Airfoil section,A combination like NACA 230-series root section with an NACA 64-series tip section may be desirable.
